id,PC1,PC2,PC3,mpa,lfm,ww.flam.sample,dw.flam.sample,site,sample.wt,spp,tti,fh,fd,gd,gti,pfg,temp.max,year.month,prop.ignite.bins10_nodate,prop.ignite.bins5_nodate,ttfg,gr
"2016_December_EPI_ADFA_(50,60]_4",1.2340547622152769,1.6049395596253575,0.18923747197720983,-8.7,53.53159851,0.18235351089588375,0.34064648910411627,St. Marys,0.523,ADFA,31,9,4,83,19,60,304.4,2016_December,94,96,12,"(50,60]"
"2016_December_EPI_ADFA_(50,60]_4",0.00241730495321035,0.4251565178615779,0.31006574590449115,-7.72,59.2445328,0.1893657927590512,0.3196342072409488,St. Marys,0.509,ADFA,38,7,6,112,22,84,318,2016_December,94,93,16,"(50,60]"
"2016_December_EPI_ADFA_(50,60]_5",1.0924189654986705,0.35982246897139575,0.5183505255568497,-3.6,59.26660059,0.18829371499688863,0.3177062850031114,St. Marys,0.506,ADFA,34,8,8,95,19,68,354.5,2016_December,94,93,15,"(50,60]"
"2016_December_EPI_ADFA_(50,60]_5",0.9919276627575716,1.8433323386218183,-0.4704573532054954,-4.5,58.68852459,0.18713636363636368,0.31886363636363635,St. Marys,0.506,ADFA,36,12,4,87,27,56,295.8,2016_December,94,93,9,"(50,60]"
"2016_December_EPI_ADFA_(50,60]_5",1.993388734246477,-0.1934940775444139,0.8335342836043831,-7.3,52.5477707,0.17774530271398747,0.33825469728601254,St. Marys,0.516,ADFA,27,13,9,94,8,77,315.2,2016_December,94,96,19,"(50,60]"
"2016_December_EPI_ADFA_(50,60]_5",1.3144527067374898,1.5998542608500392,-1.3975605633519426,-8.91,51.20934112,0.16797793712079423,0.32802206287920577,St. Marys,0.496,ADFA,31,12,6,93,29,58,300.6,2016_December,94,96,2,"(50,60]"
"2016_December_EPI_ADFA_(50,60]_6",-0.29094480820979846,1.8264567436408805,0.6308627871282504,-5.3,55.40704739,0.1761250977326036,0.3178749022673964,St. Marys,0.494,ADFA,47,6,5,92,30,57,304.6,2016_December,94,93,17,"(50,60]"
"2016_December_EPI_ADFA_(50,60]_6",0.2293325544675291,1.3827686031503663,0.34238948581092543,-5.8,56.04900459,0.19000392541707556,0.33899607458292447,St. Marys,0.529,ADFA,42,9,6,96,26,64,290.4,2016_December,94,93,16,"(50,60]"
"2016_December_EPI_ADFA_(50,60]_6",1.087771002094514,0.06427036498935738,-0.6653911016677421,-7.9,54.26439232,0.17763994471319977,0.32736005528680023,St. Marys,0.505,ADFA,31,14,6,112,21,85,323.7,2016_December,94,96,10,"(50,60]"
"2016_December_EPI_ADFA_(50,60]_6",1.448515150425874,-0.581980198315951,-1.3341830252404725,-7,54.44579781,0.17379416403785491,0.3192058359621451,St. Marys,0.493,ADFA,23,11,10,121,19,92,333.1,2016_December,94,96,4,"(50,60]"
